"id","Pays","Region","Age","Fertilite"
"1","Albanie","Europe sud","15-19",20.8
"2","Albanie","Europe sud","20-24",107.1
"3","Albanie","Europe sud","25-29",126.7
"4","Albanie","Europe sud","30-34",72.3
"5","Albanie","Europe sud","35-39",24.4
"6","Albanie","Europe sud",">=40",5.5
"7","Allemagne","Europe Ouest","15-19",8
"8","Allemagne","Europe Ouest","20-24",36.4
"9","Allemagne","Europe Ouest","25-29",78.9
"10","Allemagne","Europe Ouest","30-34",94.6
"11","Allemagne","Europe Ouest","35-39",50.9
"12","Allemagne","Europe Ouest",">=40",9.3
"13","Autriche","Europe Ouest","15-19",8.6
"14","Autriche","Europe Ouest","20-24",44.5
"15","Autriche","Europe Ouest","25-29",89.2
"16","Autriche","Europe Ouest","30-34",94.6
"17","Autriche","Europe Ouest","35-39",46.8
"18","Autriche","Europe Ouest",">=40",9.6
"19","Belgique","Europe Ouest","15-19",9
"20","Belgique","Europe Ouest","20-24",52.6
"21","Belgique","Europe Ouest","25-29",127
"22","Belgique","Europe Ouest","30-34",116.6
"23","Belgique","Europe Ouest","35-39",48.3
"24","Belgique","Europe Ouest",">=40",9.6
"25","Bielorussie","Europe est","15-19",21.4
"26","Bielorussie","Europe est","20-24",90.4
"27","Bielorussie","Europe est","25-29",106.7
"28","Bielorussie","Europe est","30-34",67.6
"29","Bielorussie","Europe est","35-39",26
"30","Bielorussie","Europe est",">=40",4.4
"31","Bosnie","Europe sud","15-19",11
"32","Bosnie","Europe sud","20-24",52.5
"33","Bosnie","Europe sud","25-29",91.8
"34","Bosnie","Europe sud","30-34",69.7
"35","Bosnie","Europe sud","35-39",25.7
"36","Bosnie","Europe sud",">=40",4.7
"37","Bulgarie","Europe est","15-19",42.1
"38","Bulgarie","Europe est","20-24",71.9
"39","Bulgarie","Europe est","25-29",90.9
"40","Bulgarie","Europe est","30-34",67.1
"41","Bulgarie","Europe est","35-39",27.2
"42","Bulgarie","Europe est",">=40",4.7
"43","Croatie","Europe sud","15-19",11.4
"44","Croatie","Europe sud","20-24",54.6
"45","Croatie","Europe sud","25-29",99.1
"46","Croatie","Europe sud","30-34",91.4
"47","Croatie","Europe sud","35-39",39.9
"48","Croatie","Europe sud",">=40",7.8
"49","Danemark","Europe nord","15-19",4.4
"50","Danemark","Europe nord","20-24",37.3
"51","Danemark","Europe nord","25-29",112.9
"52","Danemark","Europe nord","30-34",125
"53","Danemark","Europe nord","35-39",55.5
"54","Danemark","Europe nord",">=40",10.8
"55","Espagne","Europe sud","15-19",8.9
"56","Espagne","Europe sud","20-24",29.2
"57","Espagne","Europe sud","25-29",57.6
"58","Espagne","Europe sud","30-34",91.2
"59","Espagne","Europe sud","35-39",62.4
"60","Espagne","Europe sud",">=40",14.9
"61","Estonie","Europe nord","15-19",16.1
"62","Estonie","Europe nord","20-24",57.9
